input,expected_answer
"England's players wasted no time in their bid to acclimatise to the Brazilian heat as Daniel Sturridge and his team-mates enjoyed a stroll along the beach in Rio. Roy Hodgson's men checked into the Royal Tulip Hotel, their base for the World Cup, on Sunday morning and spent time relaxing by the pool after their eight-and-a-half hour flight from Miami. But Sturridge, along with fellow England stars Chris Smalling, Danny Welbeck and Jordan Henderson, decided to leave the five-star resort and check out the local scenery. VIDEO Scroll down for Sturridge shows off the view from his room in Rio de Janeiro . Mobbed: England stars Daniel Sturridge and Chris Smalling are surrounded by locals on the beach in Rio . Fans' favourite: Sturridge is greeted by a young supporter outside England's hotel . Wanted man: A journalist attempts to get a word with Manchester United striker Danny Welbeck . The England quartet were mobbed by journalists and TV crews during their time on the sand, with local kids also eager to meet their heroes in the flesh. The players retreated back to their hotel after spending time catching some rays and meeting football-mad locals. Hodgson's side will begin their final preparations for their World Cup opener with Italy with an open training session at the Urca military base on Monday. England will fly to Manaus on Thursday ahead of Saturday's clash with Cesare Prandelli's side, with a pre-match press conference set for Friday afternoon. The Three Lions also face Uruguay and Costa Rica in Group D. Centre of attention: Welbeck is surrounded by young fans as Smalling (left) enjoys a cold drink . Time to go: England trio Smalling (left), Welbeck (centre) and Jordan Henderson (right) return to their hotel .","England arrived in Rio on Sunday after their training camp in Miami .
Roy Hodgson and his players spent time relaxing by the pool at the Royal Tulip Hotel .
Sturridge, Smalling, Welbeck and Jordan Henderson were mobbed by fans and journalists at a local beach .
England begin their World Cup campaign against Italy on Saturday ."
"Germany attacking midfielder Marco Reus has been ruled out of the World Cup on Saturday with an ankle injury sustained in a 6-1 friendly win over Armenia. The German Football Federation said that Reus suffered a partial ligament tear in his left ankle in the match Friday and will miss six to seven weeks before he can resume training again. Down and out: Germany midfielder Marco Reus holds his left ankle in pain after injuring himself against Armenia . Reus said: 'I really don't know how I am meant to find the words to express how I am currently feeling. 'A dream has ended from one second to the next. But I have got to look forwards and be very professional about my rehabilitation because life must go on. 'I will come back, even stronger than I was. My best wishes now go to the whole team and that they reach our goals without me.' Ouch: Reus grimaces as he is helped to his feet by medical staff late in the first half . Expert care: Reus is taken off the pitch after receiving treatment from Germany's medical staff . Back then: Shkodran Mustafi in action for Everton in 2011, before leaving the club . 'For him and for us this is extremely regrettable,' Germany coach Joachim Low said. 'Marco . was in excellent form; he made an outstanding impression in the . training camp and in both (friendly) matches against Cameroon and . Armenia. He exuded enthusiasm for the game. He played a central role in . our planning for Brazil.' The 25-year-old Reus was one of the few German players to have impressed consistently coming into the World Cup. Former Everton defender Shkodran . Mustafi was called up as a late replacement for the Borussia Dortmund . player. The 22-year-old Sampdoria man was part of Germany's 30-man . preliminary squad and took part in the training camp in northern Italy . 'It's not about replacing Marco Reus directly,' Low said. 'We have a lot of quality for the position behind the forward. Worried: Germany boss Joachim Low (third from left) looks concerned as Reus is taken off the pitch . 'Here . we have in Lukas Podolski, Andre Schuerrle, Mario Goetze, Thomas . Muller, Mesut Ozil, Julian Draxler and Toni Kroos enough options. So we . decided for another option in defense.' Mustafi told the dpa news agency that Loew had phoned him as he was on his way home. 'I'm very sorry for Marco, but of course I'm happy that I can be there,' Mustafi said. Midfield maestro: Reus, pictured before being injured against Armenia, was set to star in Brazil .","Reus was injured in a tussle with Artur Yedigaryan .
The Borussia Dortmund midfielder had to be helped off the pitch .
Germany begin their World Cup campaign against Portugal on June 16 .
Joachim Low's side also face Ghana and the USA in Group G .
Former Everton man Shkodran Mustafi called up as his replacement ."
"Mario Balotelli is open to a move to Arsenal after his agent revealed 'anything is possible'  this summer. The Italy striker, who scored the winner against England in the World Cup on Saturday night, features highly on Arsene Wenger's shopping list as the manager looks to sign a prolific striker. Arsenal have made contact with his agent Mino Raiola with regards to arranging a deal for the Milan striker and Raiola didn't deny the interest. VIDEO Scroll down to watch Balotelli look sharp taking free kicks in Italy training . Realistic signing: Arsenal chiefs believe Balotelli is a realistic target with AC Milan lowering their wage bill . Meet and greet: Mario balotelli poses with fans prior to Italy's training session on Tuesday in Rio de Janeiro . Mr Popular: Admirers of the Milan striker pose for selfies with him as he is mobbed during training . All smiles: Balotelli was delighted to meet some of his young fans on the training pitch . 'Arsenal are a fantastic club,' Balotelli's agent Mino Raiola told Sky Sports. 'Will a transfer happen? Anything is possible.' Arsenal want to find out what the cost of the deal would be before fully pursuing a swoop for Balotelli. AC Milan are keen to offload the striker as they look to ease their wage bill this summer. Arsenal have been made aware of Balotelli's availability and are ready to strike if the deal makes financial sense. Winner: Balotelli scored the decisive goal against England in Manaus on Thursday night . Meanwhile, the Gunners will explore the option of a taking a player from Manchester United as the Old Trafford club step up their interest in Thomas Vermaelen. The Gunners are monitoring the futures of United pair Chris Smalling and Tom Cleverley, who could be surplus to requirements at United. And a player-swap deal could persuade the Gunners to part with their captain. I win: Balotelli shows the cameras the score on his fingers, 2-1, with his goal the match-winning moment . London's finest: Fiancee Fanny Neguesha could be joining Super Mario back in England at Arsenal . Arsenal want to sign a new centre-back before letting Vermaelen leave. New United boss Louis van Gaal wants to sign the Belgium international as he looks to put his stamp on the Old Trafford squad. Van Gaal is confident he can lure the central defender away from the Emirates Stadium ahead of next season. United-bound: Vermaelen could be heading for Old Trafford if Arsenal can get Cleverley or Smalling . Unshakeable: Mertesacker and Koscielny's form has seen captain Vermaelen frustrated on the sidelines . Vermaelen grew increasingly frustrated at his role at Arsenal last season as he played second fiddle to first choice central defensive pairing Per Mertesacker and Laurent Koscielny. But Arsenal manager Arsene Wenger is unwilling to let his skipper leave the club without having a replacement lined up. Having already lost right-back Bacary Sagna, who was the club's fourth choice centre-back, to Manchester City, the Gunners boss does not want to leave himself short of cover in the position. Talisman: Balotelli could be the new striker that Arsenal fans have been praying for this summer . Vermaelen has a year left on his current Arsenal contract, meaning he can leave the club for nothing next summer - a scenario the Gunners are keen to avoid. The Gunners are ready to offer Vermaelen a new contract this summer, but without the guarantee of increased first-team opportunities next season, the Belgian is likely to be reluctant to sign. Cardiff defender Steven Caulker is being considered by Wenger, while Manchester City right-back Micah Richards, who can also play centre-back, could also be an option. Three Lions: Smalling could help boost Arsenal's homegrown quota if he signs from Manchester United .","Mino Raiola said 'anything is possible' when asked about summer move .
Gunners chiefs believe Balotelli move would be financially viable .
And AC Milan have made it clear they are happy to sell the Italian striker .
Louis van Gaal is keen on Vermaelen but Arsenal need a replacement first ."
"Guinness has dropped out of the New York City St Patrick's Day parade to support gay rights, just a day before the 250-year-old event is set to take place. The event's organizers sparked outrage in the LGBT community for banning gay groups from carrying signs identifying their sexuality in the parade, and last month New York Mayor Bill de Blasio announced he wouldn't be attending. The Irish beer company decided to pull sponsorship from the parade after the owners of legendary New York gay bar The Stonewall Inn threatened to stop serving the draught. Scroll down for video . No pints for you: The Irish beer company has pulled its sponsorship of the New York City parade because the event is excluding certain participation of the LGBT community. Above, a waitress pours pints of Guinness during this year's celebrations in London . Rules: The parade's organizers say gays can march in the event, but can't carry signs that advertise their sexuality . Pressured: Guinness announced its decision to drop out of the parade after New York gay bar The Stonewall Inn threatened to stop serving the stout . A Guinness spokesperson said the company was hoping the organizers would reverse their exclusionary policy in time for the Monday parade, but since the rules weren't changed the company decided to withdraw participation. 'Guinness has a strong history of supporting diversity and being an advocate for equality for all...We will continue to work with community leaders to ensure that future parades have an inclusionary policy' the statement read. Following the statement, The Stonewall Inn said it would continue to serve Guinness. Guinness is the third beer company to drop sponsorship of an American St Patrick's Day Parade this year in support of gay rights. On Friday, both Sam Adams and Heineken pulled out of parades citing the exclusionary policies. Count us out: On Friday, Sam Adams dropped out of the Boston St Patrick's Day parade, and Heineken ended its sponsorship of the New York event . Sam Adams was a sponsor of the parade in Boston, which happened on Sunday, but ended financial support when a local gay bar threatened to stop serving their beer. 'We were hopeful that both sides of this issue would be able to come to an agreement that would allow everyone, regardless of orientation, to participate in the parade,' Jessica Paar, a spokeswoman for Boston Beer Company, which brews Sam Adams, said in a statement.'But given the current status of the negotiations, we realize this may not be possible.' Dutch-brewer Heineken ended its support of the New York City parade saying they 'believe in equality for all' and therefore couldn't sponsor the event. The decision by a big-name Irish brewery to end its sponsorship of the parade has been applauded by gay-rights group GLAAD. Same old story: The anti-gay parade policy has been in place for years. Above, gay rights activists protest the NYPD's involvement with the parade in 2011 . 'Today, Guinness sent a strong message to its customers and employees: discrimination should never be celebrated,' Sarah Kate Ellis, GLAAD's CEP and President, said in a statement. 'As a gay mom who has fond memories of the New York City St. Patrick's Day Parade, it saddens me that I can't give those same memories to my own kids because my family isn't welcome. Hopefully, as parade organizers realize that anti-LGBT discrimination is not supported by sponsors, or many Irish New Yorkers, they'll see that families like mine should be part of the celebration.' Currently Ford is the last major American company to continue its sponsorship of the parade. In a statement issued to CNBC last week, the motor company said it sponsors a 'wide range of events' across teh country and that no one event 'reflects Ford's views on every issue.' 'Ford is proud of its inclusive policies. Every member of the Ford team is valued, and we provide employee benefits regardless of race, gender or sexual orientation,' the statement read. Instead of attending the main New York City parade, Mayor De Blasio marched the Queens borough St Patrick's Day parade earlier this month - an event which allows full LGBT participation. Not going to make it: Mayor Bill de Blasio announced last month he would not be attending the New York parade. Instead, he marched in the Queens St Patrick's Day parade earlier this month which has been accepting of the LGBT community . De Blasio will be the first mayor for over 20 years not to march in the famous Irish parade down Fifth Avenue on March 17. Openly gay public officials in the city have also said they will miss the event. City Councilman Jimmy Van Bramer, who was arrested at the parade with a gay-pride banner in 2000, said de Blasio had taken a 'strong stand against discrimination'. 'I find it offensive that the parade takes a formal and hard line that I can’t participate,' Van Bramer said. 'That literally shuts out huge portions of our city.' Others disagreed. President of the Catholic League Bill Donohue lambasted the mayor's announcement. 'Personally, I am delighted,' Donohue said in a statement posted on the Catholic League’s website. 'I do not want to march with a public official who does not want to be associated with Irish Catholics,' he added. It was back in 1993 that a New York mayor chose not to march in the parade. David Dinkins declined to take part because of similar reasons. Former mayor Michael Bloomberg marched every year. New York City St. Patrick's Day Parade is one of the U.S.'s oldest Irish traditions. It marched for the first time more than 250 years ago, on March 17, 1762 - 14 years before the Declaration of Independence. Attendee: Former New York Mayor Michael Bloomberg, an Irish American, marched in the parade every year he was in office .","The parade's organizers have banned LGBT marchers from holding up signs advertising their sexuality .
The owners of New York gay bar The Stonewall Inn threatened to stop serving Guinness if it continued to sponsor the parade .
Guinness is the third beer company to pull sponsorship of an American St Patrick's Day parade .
New York Mayor Bill de Blasio will not be attending the Monday parade to protest the exclusionary policies ."
"New Zealand scrum-half Aaron Smith believes the pain of succumbing to his only defeat in an All Blacks shirt against England will fuel his performance in tomorrow's first Test at Eden Park. Smith and his fellow world champions were thrashed 38-21 at Twickenham in December 2012 - a record defeat against England. The All Blacks avenged that loss with a 30-22 victory in last year's November international but Smith still carries the scars of his solitary reversal for New Zealand from 26 caps. Fuel: New Zealand scrum-half Aaron Smith will use the pain of defeat of his only defeat to England as inspiration . Focused: Malakai Fekitoa receives a pass during the All Blacks' Captain's Run at Eden Park . Pivotal: Centre Nonu will be a key player for New Zealand when they host England at Eden Park tomorrow . Pleased: New Zealand skipper Richie McCaw smiles as he takes him team on the Captain's Run . Challenge: Marland Yarde (centre) and his inexperienced England team-mates face a massive test at Eden Park . Danger man: Manu Tuilagi is England's talisman and the All Blacks will aim to keep him quiet at Eden Park . The 25-year-old said: 'England showed a lot of fire in that game. I still have clear memories of that day. It's quite painful still. 'It's still there to fuel to me - the way it happened. They blew us away in the end. 'I learned from that game, that it's not about trying to win the game early. 'It's a general big-time Test match where you try and win as many moments as you can. 'It was a lot better in the second game and we showed them a lot more respect. 'Everyone thought ""oh God no"" when England went ahead but we had to trust our plan and we got the win which was really good.' Smith is relishing the opportunity to finally play England on home soil having faced them at Twickenham twice, one of which was New Zealand's only loss since winning the World Cup in 2011. 'England are really a dangerous animal and still have the brute size that their sides always do,' he said. Record: England beat New Zealand 38-21 in November 2012 but will field a much weakened side at Eden Park . Glory: England celebrate beating New Zealand in 2012 - their only loss since winning the 2011 World Cup . Ready: England head coach Stuart Lancaster looks on during training as he familiarise himself with Eden Park . Determined: New Zealand captain Richie McCaw looks focused in training in Auckland . Pinpoint: All Blacks fly-half Aaron Cruden, who is deputising for Dan Carter, practises a kick in training . Revenge: Julian Savea (right) scores for New Zealand in a 30-22 win at Twickenham in November last year . 1963: New Zealand 21-11 England . 1973: New Zealand 10-16 England . 1998: New Zealand 40-10 England . 2004: New Zealand 36-12 England . 2008: New Zealand 37-20 England . 'They play with a lot of width and like playing footie. It's refreshing to see because it's an exciting brand of rugby. 'We're playing in our home ground for once. I've played them twice and it's not too much fun at Twickenham. 'That's their place, they like to play there and it will be nice to play them in a place I like to play as well. 'Eden Park's a good ground and there should be fireworks in a sense and hopefully we're making the bigger bangs.' - The All Blacks have not lost a Test at Eden Park in 20 years. - They have won 31 successive Tests on the ground. - Only Wales are unbeaten at Eden Park - and that is mainly because they have never played there. Intimidating: England will have to face the Haka, a Maori war dance, before the game at Eden Park . Respect: England will be unable to confront the All Blacks as Richard Cockerill (centre) famously did in 1997 . Leading from the front: Skipper Chris Robshaw issues instructions during England's Captain's Run . Inexperienced: Fly-half Freddie Burns (centre) has only four international caps for England . Fooling around: New Zealand players look relaxed and enjoy a joke in training ahead of the match . Confident: New Zealand head coach Steve Hansen looks in good spirits ahead of the first Test with England . Chilled: All Blacks full-back Israel Dagg takes a break during the Captain's Run at Eden Park . Looking on: All Blacks number eight Kieran Read will miss the first test due to injury .","Smith's solitary All Blacks loss was 38-21 against England in December 2012 .
It was also New Zealand's only defeat since their 2011 World Cup triumph .
The scrum-half says he still uses that pain of defeat to fuel his performances .
New Zealand and Smith won 30-22 at Twickenham last year .
Smith is yet to face England on home soil and is relishing opportunity ."
"Luis Suarez admitted his two goals that leave England on the brink of World Cup elimination were sweet revenge for all the criticism he has got playing in the Premier League. The Liverpool and Uruguay striker has been banned for racially abusing Manchester United’s Patrice Evra and for biting Chelsea’s Branislav Ivanovic during a controversial career in England. And after a 2-1 win over England, Suarez, who was playing his first game after a knee operation, said: ‘I dreamt this. I’m enjoying this moment, because of all I suffered, the criticism I received. So, there you go.' VIDEO Scroll down to watch Suarez's emotional dressing room message to wife and kids . Tormentor: Luis Suarez was the star of the show as Uruguay beat England in Sao Paulo . Back with a bang: Suarez, who missed Uruguay's opening game, celebrates his first goal in Sao Paulo . Delight: The Uruguayan striker lets out a roar after scoring the decisive goal in Sao Paulo . Suarez added: 'Before the game too many people in England laughed about my attitude over the last few years. This is a very good time for me. I want to see what they think now. 'It was one of the best games I've played. It's an amazing moment for me. Maybe a few days ago I thought this wouldn't be possible.' Suarez scored the winner five minutes from time after Wayne Rooney had cancelled out his earlier effort. Roles reversed: Suarez consoles Steven Gerrard (left) but it was the other way round at Crystal Palace (right) An error from Steven Gerrard allowed Suarez in to score Uruguay's decisive second goal with six minutes to play. Suarez said he told his Liverpool team-mate to keep his head up after the game. 'I told him (Gerrard) to keep going,' Suarez said. 'He's the best player I've played with on the pitch. This is an unlucky moment for him. I don't like it when he hurts like this. I said: ""Keep going, forget this game, you're one of the best.""' Uruguay coach Oscar Tabarez likened the game in Sao Paulo to a movie script with a perfect ending for his team. He said: 'If this was a movie, people probably couldn't have wished for a better storyline, at least in Uruguay. We have won. We have beaten a European team after a long, long time. Many people said we wouldn't be able to do so. Clash: Suarez was suspended after being found guilty of racially abusing Patrice Evra in 2011 . Flashpoint: The Uruguayan admitted to diving against Stoke in 2012 in an attempt to win a penalty . Digging in: Suarez was banned for the start of last season after biting Chelsea's Branislav Ivanovic . 'It's a special day. Both goals were scored by Luis Suarez, a player who was injured a month ago and had to undergo surgery, so this game was loaded with symbolism. But we can still fight. We're still alive. But we have not qualified yet for the next phase.' The victory for Uruguay lifted them back into contention in Group D after a shock 3-1 defeat by Costa Rica in their opening game. Suarez and Co take on Italy in their final game next Tuesday. England must now hope that Italy beat Costa Rica on Friday and also claim three points against Uruguay to have any chance of qualifying for the knock-out stages. VIDEO Suarez gets his revenge .","Luis Suarez scores both goals as Uruguay defeat England 2-1 in Sao Paulo .
Striker says this feels like revenge for all the criticism he has received .
Suarez's antics, including diving and biting, heavily scrutinised in Premer League ."
"Cristiano Ronaldo has declared himself fit for Portugal’s Group G opener against Germany – and told sceptics who believe he needs a good World Cup to look at his CV. The Real Madrid forward has been struggling with a knee problem in the build up to Monday night's heavyweight clash in Salvador, but said on Sunday: ‘Obviously I would like to be at 110 per cent - I am 100 per cent and that is enough to help the national team. ‘I have been practising for many days and I am feeling well. There has not been a single moment when I have not played without pain in my career, that’s the burden.’ Just look at my CV: Cristiano Ronaldo dispelled suggestions he needs to have a good World Cup to be considered one of the best . Fit and firing: The Portugal star has recovered from a knee injury to be ready for their opening Group G match with Germany on Monday . Control: Ronaldo cushions the ball with his chest as Portugal trained at the Arena Fonte Nova in Salvador on Sunday . The issue of Ronaldo’s fitness has come to the forefront with the forward photographed with an ice pack on his knee this week, raising fears that he might again fail to produce his best form on the game’s biggest stage. The subject of his legacy was again raised on Sunday, with Ronaldo adamant that he has nothing to prove. He said: ‘I don’t think I have to show anyone anything. Look at my statistics and CV – I have no words for that question. I have nothing to prove. My career has been great so far and I just want to continue.’ Ronaldo added: ‘I believe one player is not a team. I am here to help the team. I am an additional player and I can make a difference, but I can’t carry the team on my back. Under pressure: Ronaldo takes down the ball as one of his teammates attempts a kung-fu kick to dispossess him . On the mend: Ronaldo trained on Sunday with just a light strapping on his troublesome left knee . ‘I want to be champion, but let’s take it a step at a time. We played a great team tomorrow, but we have our weapons. We are not in the group of favourites, but we are one of the best. ‘For me it pushes me forward to succeed at a tournament. I like challenges, I want to do my best in whatever competition I am in. ‘It is a new challenge which I will face up to. I want to show my football, it is my life and something want to do most. Magnetic: Even falling backwards, Ronaldo manages to bring the ball under his spell . Floored: Ronaldo continues his stretching routine as his teammates practise their ball control . Illusion: Ronaldo appears to leave the ball behind as he fine-tuned his repertoire of skills ahead of the Germany match . ‘We start the competition waiting to do our best. Germany is a very strong team, but we don’t have to respect or fear that. ‘We have many good players and I believe we will have a good World Cup.’ Germany goalkeeper Manuel Neuer believes the fixture is ‘almost like a final’. The Germans have been handed a tricky start in a group which also includes Ghana and the USA and Neuer said: ‘After that match, we will really know where we stand. In a way, it’s almost like a final.’ 'Like a final': Germany goalkeeper Manuel Neuer was excited by the prospect of the Portugal match .","Cristiano Ronaldo overcomes a knee injury ahead of Portugal's Group G opener with Germany .
Real Madrid star tells sceptics to look at his achievements and says 'I have nothing to prove'
Portugal will not be fazed by Germany side, he says .
Manuel Neuer says match is 'almost like a final'"
"Following Portugal's dramatic 2-2 with USA on Monday night, both teams must win their final group game to stand any chance of progressing to the last 16 of the World Cup. Media from both nations have focused on the enthralling tie in which Portugal equalised in the fifth minute of injury time to give themselves a lifeline and damage the hopes of the U.S. Diario de Noticias have gone with an image of star man Cristiano Ronaldo with his hand on his head after the draw leaves the Portuguese of crashing out of the tournament at the group stage phase. Setback: Portuguese media focused on star man Cristiano Ronaldo's dejection following the draw with USA . Journal de Noticias also use Ronaldo sat on the pitch looking dejected at the full-time whistle and accompany the image with the headline: 'Do the maths' as Portugal are now relying on other results to go their way. Meanwhile, New York's 'Hometown Newspaper' Daily News used an image of Silvestre Varela's late goal as goalkeeper Tim Howard looks on as the headline reads: 'Heartbreak header!' following the last-gasp leveller. Finally, Correio da manha showed Portugal winger Nani celebrating his opener against the US. However, after eventually drawing the game the Portuguese publication's headlien reads: 'In the hands of the Germans.' Ronaldo and Co will be hoping Germany v USA ends with one winner rather than a draw while Portugal must beat Ghana by enough goals to overturn their negative goal difference. Heartbreak header! New York's Daily News focused on Silvestre's late leveller against goalkeeper Tim Howard . VIDEO USA and Portugal fans go mad in Manaus .","Portugal on the brink of World Cup elimination following draw with USA .
Cristiano Ronaldo and Co rescued dramatic point in fifth minute of injury time .
Portuguese need to beat Ghana and hope Germany and USA don't draw ."
"A thoroughly deflated Gary Cahill described England’s 2-1 defeat to Uruguay as the lowest point of his career. England are on the verge of elimination from the World Cup thanks to Luis Suarez’s deadly double in Sao Paulo. For England to qualify they need Italy to win their final two matches while the Three Lions must also beat Costa Rica in Belo Horizonte and hope they have a good enough goal difference. VIDEO - Scroll down to see fan reaction from both sides . Down and almost out: Cahill has that sinking feeling after the defeat to Uruguay . But Cahill thinks England are almost certainly out, judging by his mood after the match in Sao Paulo. 'It’s the worst feeling I have had as a player,' the England centre-back said. 'A few weeks ago this (the World Cup) was one of the highlights of my career and a couple of weeks down the line it’s one of the lowest points. 'The next four days are going to seem like forever. We just hope that Italy can perform really well in the next two games and leave the last game to try and get a win and that’s all we can do but we realise it’s going to be very tough.' Big moment: Cahill can't prevent Luis Suarez smashing home Uruguay's winner . Despite having knee surgery just four-and-a-half weeks ago, Suarez chased the England defence down all night. The controversial Liverpool striker sneaked in behind Cahill to head past Joe Hart in the first half and he wrapped up the win when he capitalised on a mistake by Steven Gerrard. Cahill believes the Uruguayan was very lucky with his second goal. 'He has a lot of energy and he is a great finisher, but sometimes as a forward you get a bit of luck,' the Chelsea defender said. 'He took his first goal very well. For the second goal he was very, very fortunate. Rooney hit the bar in the first half and the Manchester United forward went close with a curling free-kick. The centre-back is given a consoling pat on the head from Wayne Rooney . Englend's nemesis Luis Suarez consoles a dejected England captain Steven Gerrard . England had other chances to clinch the win, and Cahill believes the team were unfortunate to lose. 'I thought we gave a good account of ourselves,' said Cahill, who won his 26th cap on Thursday. 'I have played in teams a lot worse than this and come away with wins. 'Joe (Hart) came off and he said to me that he has had five or six shots on target to deal with over the two games and we have conceded four goals. It’s very tough to take. Sometimes football can be cruel.' Meanwhile, Phil Jagielka knows a remarkable turn of events are needed if they are to avoid becoming the first England side since 1958 to crash out at the World Cup group stage. England boss Roy Hodgson gathers his thoughts while coach Gary Neville (second right) watches the action . 'There’s a small chance but we are not exactly expecting something like that,' the centre-back said. 'We have to go out there and give a good performance against Costa Rica. 'We had them on the back foot. I’m not sure what went on with Daniel Sturridge’s penalty appeal, and we had a couple of chances, but obviously we just weren’t able to get that second goal. 'It it is a similar story to the Italy game. We played pretty well but not good enough.' Asked to sum up his feelings, Jagielka added: 'Gutting. We played so well again in spells. Stunned: Danny Welbeck was left reeling after Uruguay scored their first goal . 'It didn’t go our way with Steven (Gerrard) flicking the ball on, and you just hope that he mishits one, but he hit the target and they win the game. 'We’ve not seen it again, but as a defender that’s the last thing you want to see. A punt down the pitch, a flick-on and a goal. 'As you can tell by my voice, everyone is absolutely devastated.'","England centre-back couldn't prevent Luis Suarez scoring twice .
Wayne Rooney's goal wasn't enough to avoid a second Group D defeat .
Roy Hodgson's side on brink of elimination from tournament ."
"It was business as usual for Andy Murray on the opening day of Wimbledon, as the British No1 began the defence of his men's singles title with a straight-forward victory over David Goffin. The British No 1 admitted he had been nervous about returning to the court where he so memorably won Olympic gold and became Wimbledon champion, but he showed no signs of anxiety as he brushed aside his diminutive opponent 6-1, 6-4, 7-5 in just over two hours. Murray said: 'I thought it was a very high standard of match. He was maybe a little bit nervous at the beginning, but the level was very high in the second and third sets. I was glad to finish it in three because he was playing very well. VIDEO Scroll down to watch Sportsmail's Williamson and Whitwell's update from day one . Game on: Andy Murray cruised through to the second round on Centre Court . Stretching: Murray plays an overhead shot on his way to victory on the opening Monday . Stretch: Murray was never troubled by David Goffin as he made a good start to the defence of his title . He's back: Murray was on Centre Court for the first time since he won the title last year . 'Sometimes you can win in three sets and not play well, but I struck the ball well today and it was a good start. 'It . was nice (to be announced as the defending champion). I was nervous . this morning and on Sunday and walking to the court brings back lots of . good memories. 'I got a nice round of applause but now it's time to move onto this year and try to play my best.' The . Centre Court crowd's warm, appreciative roar to greet their men's . champion when he walked out at 1pm provided a moment to savour from a . British perspective. We have waiting a long time for such a moment, . after all. Yet it also . seemed to overwhelm Goffin, who won the toss but elected to receive and, . despite earning a break point in the Scot's opening service game, was . quickly 3-0 down and floundering. VIDEO Wimbledon Day One - Review . Defending champion: Murray is looking to win the Wimbledon title for the second successive year . Breather: Murray wipes sweat off his forehead in between games . Overwhelmed: Goffin was outclassed by Murray on Centre Court . Andy's girls: Murray was watched by his girlfriend Kim Sears (left) and new coach Amelie Mauresmo (right) The . first set was little more than a procession for Murray, who pounced on . the Goffin serve without relinquishing anything on his own. The Scot has . never lost to a Belgian or a player ranked outside the top 100 at a . Grand Slam and apparently had no intention of seeing either record on . Monday. Goffin recovered . his composure slightly in the second set, showing more of the graceful . elegance that should help him on the grass, but a similar pattern . continued. Murray raced through his service games and Goffin struggled . to win his, giving the 23-year-old little chance to recover from going a . break down early in the set. By . the third, however, Goffin had grown in confidence and began to change . things up, coming into the net and competing more strongly with Murray . on his own serve. He still made little impact on the British No1's . serve, but took the set to 5-5 before squandering a 40-15 lead to . finally give Murray that precious break of serve. The Scot wrapped up a comprehensive victory with an ace and then a pump of the fist. Now onto the next one. Hello mum: Judy Murray was in her customary seat to watch her soon charge through .","British No 1 wins 6-1, 6-4, 7-5 in just over two hours .
Murray wrapped up victory in the third set with an ace .
Murray admitted to nerves before returning to centre court ."
